ID,NAME,DOB,DOJ,PHONE,EMAIL,SALARY,GENDER,AGE,COMPANY_AGE,WEIGHT
850297,SHAWNA BUCK,12/12/1971,12/18/2010,702-771-7149,SHAWNA.BUCK@GMAIL.COM,119090,0,48,9,44
304721,NATHANIEL BURKE,10/31/1993,04/25/2017,231-765-6923,NATHANIEL.BURKE@WALMART.COM,117991,1,26,2,52
412317,ELISABETH FOSTER,11/26/1994,03/27/2017,270-749-4774,ELISABETH.FOSTER@GMAIL.COM,161045,0,25,2,42
621375,BRIANA LANCASTER,11/24/1975,02/25/2003,219-623-8216,BRIANA.LANCASTER@YAHOO.COM,142616,0,44,16,43
787549,ESTELLA POTTER,03/13/1995,10/11/2016,907-677-8486,ESTELLA.POTTER@GMAIL.COM,135706,0,24,3,58
520092,LAMONT WOODS,10/13/1991,11/27/2014,236-597-8196,LAMONT.WOODS@HOTMAIL.COM,173027,1,28,5,59
795934,MELINDA LOPEZ,09/15/1984,11/22/2005,210-396-1493,MELINDA.LOPEZ@HOTMAIL.COM,41287,0,35,14,55
159108,SHANNA SILVA,06/19/1958,10/23/1999,236-373-6712,SHANNA.SILVA@GMAIL.COM,85833,0,61,20,48
330816,JASMINE FREEMAN,08/31/1961,02/01/1983,423-796-1535,JASMINE.FREEMAN@GMAIL.COM,154216,0,58,36,55
532002,MADGE SARGENT,10/02/1981,04/13/2006,217-910-0644,MADGE.SARGENT@AOL.COM,133003,0,38,13,58
612850,BETHANY CLINE,10/01/1986,04/19/2008,215-970-5881,BETHANY.CLINE@YAHOO.CA,154836,0,33,11,48
483751,REID RANDOLPH,01/20/1989,04/08/2017,209-996-8902,REID.RANDOLPH@GMAIL.COM,124757,1,30,2,78
252938,ANTOINE WILEY,02/22/1996,04/18/2017,503-361-6334,ANTOINE.WILEY@VERIZON.NET,58733,1,23,2,61
966375,MATHEW HODGE,07/05/1995,11/11/2016,209-294-7430,MATHEW.HODGE@HOTMAIL.COM,75584,1,24,3,89
707520,BERNARDO AUSTIN,02/02/1975,01/26/2005,319-716-4227,BERNARDO.AUSTIN@HOTMAIL.COM,118693,1,44,14,64
673049,COLE JENSEN,02/10/1990,05/30/2011,405-495-4201,COLE.JENSEN@AOL.COM,98381,1,29,8,74
265124,TONIA BURNS,04/19/1985,09/12/2014,209-631-5424,TONIA.BURNS@GMAIL.COM,102274,0,34,5,50
300693,TOD HOLCOMB,06/21/1987,06/05/2015,240-364-4220,TOD.HOLCOMB@OUTLOOK.COM,91719,1,32,4,76
369712,YESENIA GUERRERO,03/29/1968,03/03/1994,240-505-5321,YESENIA.GUERRERO@BTINTERNET.COM,150016,0,51,25,41
913253,CAREY FERRELL,05/22/1972,10/30/2004,212-495-4523,CAREY.FERRELL@YAHOO.COM,125232,1,47,15,87
308617,AILEEN BLANCHARD,12/05/1986,07/18/2009,308-788-3843,AILEEN.BLANCHARD@GMAIL.COM,179264,0,33,10,49
